OBJECTID,IS_DRILL,STREET,REASON,TYPE,SOURCE,RoadClosureDate,RoadClosureEnd,INCIDENT_DATE,YEAR,RoadClosureHours,CommuteHours,TideDate,MinsUntilTide,FloodRisk,NearestHighLowTide,MaxTide,TideType,Closest6MinTideHeight,MoonPhase,MoonPhaseDesc,DailyPrecipitation_Downtown,DailyPrecipitationCat_Downtown,Fastest2minWindDir_Dwntwn,Fastest2minWindSpeed_Dwntwn,Fastest2minWindDirDesc_Dwntwn,FloodReason_6MIN,FloodReason_Day,EventName,Shape__Length
880,,WASHINGTON ST,FLOOD,CLOSED,Charleston GIS,2019/11/17 09:00:11+00,2019/11/17 14:00:00+00,2019/11/17,2019,5,Non-Commute,2019/11/17 11:42:00+00,162,Moderate,7.754,7.754,High,6.222,0.65,Other Moon,0,None,10,23.9,N,High Tide / No Rain,High Tide / No Rain,,101.917436385401
881,,HAGOOD AVE,FLOOD,CLOSED,Charleston GIS,2019/11/17 12:00:00+00,2019/11/17 14:00:00+00,2019/11/17,2019,2,Non-Commute,2019/11/17 11:42:00+00,-18,Moderate,7.754,7.754,High,7.715,0.65,Other Moon,0,None,10,23.9,N,High Tide / No Rain,High Tide / No Rain,,805.865669297131
882,,SAINT ANDREWS BLVD RAMP,FLOOD,CLOSED,Charleston PD,2019/11/17 12:00:00+00,2019/11/17 14:00:00+00,2019/11/17,2019,2,Non-Commute,2019/11/17 11:42:00+00,-18,Moderate,7.754,7.754,High,7.715,0.65,Other Moon,0,None,10,23.9,N,High Tide / No Rain,High Tide / No Rain,,780.78997189418
883,,LOCKWOOD DR,FLOOD,CLOSED,Charleston PD,2019/11/17 12:00:00+00,2019/11/17 16:00:00+00,2019/11/17,2019,4,Non-Commute,2019/11/17 11:42:00+00,-18,Moderate,7.754,7.754,High,7.715,0.65,Other Moon,0,None,10,23.9,N,High Tide / No Rain,High Tide / No Rain,,290.592682123021
884,,HASELL ST,FLOOD,CLOSED,Charleston PD,2019/11/17 12:00:00+00,2019/11/17 14:00:00+00,2019/11/17,2019,2,Non-Commute,2019/11/17 11:42:00+00,-18,Moderate,7.754,7.754,High,7.715,0.65,Other Moon,0,None,10,23.9,N,High Tide / No Rain,High Tide / No Rain,,99.7532786456853
885,,FISHBURNE ST,FLOOD,CLOSED,Charleston PD,2019/12/20 15:03:05+00,2019/12/20 15:04:11+00,2019/12/20,2019,0,Evening Commute,2019/12/20 14:42:00+00,-21,None,5.513,5.539,High,5.51,0.78,Other Moon,0,None,30,13,NE,Low Tide / No Rain,Low Tide / No Rain,,225.914454383345
886,,KING ST,FLOOD,CLOSED,Charleston PD,2019/12/20 15:06:29+00,2019/12/20 15:07:01+00,2019/12/20,2019,0,Evening Commute,2019/12/20 14:42:00+00,-24,None,5.513,5.539,High,5.474,0.78,Other Moon,0,None,30,13,NE,Low Tide / No Rain,Low Tide / No Rain,,57.9833469525399
887,,RUTLEDGE AVE,FLOOD,CLOSED,Charleston PD,2019/12/20 15:12:53+00,2019/12/20 15:14:10+00,2019/12/20,2019,0,Evening Commute,2019/12/20 14:42:00+00,-30,None,5.513,5.539,High,5.441,0.78,Other Moon,0,None,30,13,NE,Low Tide / No Rain,Low Tide / No Rain,,179.532032154013
888,,OGIER ST,FLOOD,WARNING,Charleston PD,2019/12/23 04:00:00+00,2019/12/23 15:45:00+00,2019/12/23,2019,11,Non-Commute,2019/12/23 05:30:00+00,90,Moderate,7.626,7.626,High,6.737,0.89,Other Moon,3.62,">3""",60,36.9,NE,High Tide / Rain,High Tide / Rain,,237.011054643837
889,,WENTWORTH ST,FLOOD,CLOSED,Charleston PD,2019/12/23 04:00:00+00,2019/12/23 07:30:00+00,2019/12/23,2019,3,Non-Commute,2019/12/23 05:30:00+00,90,Moderate,7.626,7.626,High,6.737,0.89,Other Moon,3.62,">3""",60,36.9,NE,High Tide / Rain,High Tide / Rain,,452.112942156342
890,,MORRISON DR,FLOOD,CLOSED,Charleston PD,2019/12/23 04:00:00+00,2019/12/23 09:30:00+00,2019/12/23,2019,5,Non-Commute,2019/12/23 05:30:00+00,90,Moderate,7.626,7.626,High,6.737,0.89,Other Moon,3.62,">3""",60,36.9,NE,High Tide / Rain,High Tide / Rain,,839.574954266054
891,,CHERRY ST,FLOOD,CLOSED,Charleston PD,2019/12/23 04:00:00+00,2019/12/23 15:45:00+00,2019/12/23,2019,11,Non-Commute,2019/12/23 05:30:00+00,90,Moderate,7.626,7.626,High,6.737,0.89,Other Moon,3.62,">3""",60,36.9,NE,High Tide / Rain,High Tide / Rain,,140.62679116713
892,,ASHLEY AVE,FLOOD,CLOSED,Charleston PD,2019/12/23 04:00:00+00,2019/12/23 16:00:00+00,2019/12/23,2019,12,Non-Commute,2019/12/23 05:30:00+00,90,Moderate,7.626,7.626,High,6.737,0.89,Other Moon,3.62,">3""",60,36.9,NE,High Tide / Rain,High Tide / Rain,,330.880677112642
893,,S MARKET ST,FLOOD,CLOSED,Charleston PD,2019/12/23 04:00:00+00,2019/12/23 07:30:00+00,2019/12/23,2019,3,Non-Commute,2019/12/23 05:30:00+00,90,Moderate,7.626,7.626,High,6.737,0.89,Other Moon,3.62,">3""",60,36.9,NE,High Tide / Rain,High Tide / Rain,,197.988555384553
894,,WASHINGTON ST,FLOOD,CLOSED,Charleston PD,2019/12/23 04:00:00+00,2019/12/23 09:00:00+00,2019/12/23,2019,5,Non-Commute,2019/12/23 05:30:00+00,90,Moderate,7.626,7.626,High,6.737,0.89,Other Moon,3.62,">3""",60,36.9,NE,High Tide / Rain,High Tide / Rain,,360.101555061991
895,,DRAKE ST,FLOOD,CLOSED,Charleston PD,2019/12/23 04:00:00+00,2019/12/23 15:45:00+00,2019/12/23,2019,11,Non-Commute,2019/12/23 05:30:00+00,90,Moderate,7.626,7.626,High,6.737,0.89,Other Moon,3.62,">3""",60,36.9,NE,High Tide / Rain,High Tide / Rain,,344.829379083694
896,,LOCKWOOD DR,FLOOD,CLOSED,Charleston PD,2019/12/23 04:00:00+00,2019/12/23 15:00:00+00,2019/12/23,2019,11,Non-Commute,2019/12/23 05:30:00+00,90,Moderate,7.626,7.626,High,6.737,0.89,Other Moon,3.62,">3""",60,36.9,NE,High Tide / Rain,High Tide / Rain,,548.339634852359
897,,GADSDEN ST,FLOOD,CLOSED,Charleston PD,2019/12/23 04:00:00+00,2019/12/23 14:00:00+00,2019/12/23,2019,10,Non-Commute,2019/12/23 05:30:00+00,90,Moderate,7.626,7.626,High,6.737,0.89,Other Moon,3.62,">3""",60,36.9,NE,High Tide / Rain,High Tide / Rain,,801.70839880831
898,,BARRE ST,FLOOD,CLOSED,Charleston PD,2019/12/23 04:00:00+00,2019/12/23 15:45:00+00,2019/12/23,2019,11,Non-Commute,2019/12/23 05:30:00+00,90,Moderate,7.626,7.626,High,6.737,0.89,Other Moon,3.62,">3""",60,36.9,NE,High Tide / Rain,High Tide / Rain,,301.380476833978
899,,BEAUFAIN ST,FLOOD,CLOSED,Charleston PD,2019/12/23 04:00:00+00,2019/12/23 08:00:00+00,2019/12/23,2019,4,Non-Commute,2019/12/23 05:30:00+00,90,Moderate,7.626,7.626,High,6.737,0.89,Other Moon,3.62,">3""",60,36.9,NE,High Tide / Rain,High Tide / Rain,,353.266950122503
900,,N MARKET ST,FLOOD,CLOSED,Charleston PD,2019/12/23 04:00:00+00,2019/12/23 11:15:00+00,2019/12/23,2019,7,Non-Commute,2019/12/23 05:30:00+00,90,Moderate,7.626,7.626,High,6.737,0.89,Other Moon,3.62,">3""",60,36.9,NE,High Tide / Rain,High Tide / Rain,,192.045662656951
901,,RUTLEDGE AVE,FLOOD,CLOSED,Charleston PD,2019/12/23 04:00:00+00,2019/12/23 10:00:00+00,2019/12/23,2019,6,Non-Commute,2019/12/23 05:30:00+00,90,Moderate,7.626,7.626,High,6.737,0.89,Other Moon,3.62,">3""",60,36.9,NE,High Tide / Rain,High Tide / Rain,,334.693517036764
902,,CALHOUN ST,FLOOD,CLOSED,Charleston GIS,2019/12/23 04:00:10+00,2019/12/23 07:00:10+00,2019/12/23,2019,3,Non-Commute,2019/12/23 05:30:00+00,90,Moderate,7.626,7.626,High,6.737,0.89,Other Moon,3.62,">3""",60,36.9,NE,High Tide / Rain,High Tide / Rain,,82.9258723516406
903,,SAINT ANDREWS BLVD RAMP,FLOOD,WARNING,Charleston GIS,2019/12/23 04:00:10+00,2019/12/23 07:00:10+00,2019/12/23,2019,3,Non-Commute,2019/12/23 05:30:00+00,90,Moderate,7.626,7.626,High,6.737,0.89,Other Moon,3.62,">3""",60,36.9,NE,High Tide / Rain,High Tide / Rain,,709.33506438949
904,,HAGOOD AVE,FLOOD,CLOSED,Charleston GIS,2019/12/23 04:00:10+00,2019/12/23 07:00:10+00,2019/12/23,2019,3,Non-Commute,2019/12/23 05:30:00+00,90,Moderate,7.626,7.626,High,6.737,0.89,Other Moon,3.62,">3""",60,36.9,NE,High Tide / Rain,High Tide / Rain,,805.865669297131
905,,ASHLEY AVE,FLOOD,CLOSED,Charleston PD,2019/12/23 04:30:00+00,2019/12/23 12:00:00+00,2019/12/23,2019,8,Non-Commute,2019/12/23 05:30:00+00,60,Moderate,7.626,7.626,High,7.249,0.89,Other Moon,3.62,">3""",60,36.9,NE,High Tide / Rain,High Tide / Rain,,131.538953396518
906,,BEE ST,FLOOD,CLOSED,Charleston PD,2019/12/23 04:30:00+00,2019/12/23 12:15:00+00,2019/12/23,2019,8,Non-Commute,2019/12/23 05:30:00+00,60,Moderate,7.626,7.626,High,7.249,0.89,Other Moon,3.62,">3""",60,36.9,NE,High Tide / Rain,High Tide / Rain,,213.173404002155
907,,BOGARD ST,FLOOD,CLOSED,Charleston PD,2019/12/23 04:30:00+00,2019/12/23 14:15:00+00,2019/12/23,2019,10,Non-Commute,2019/12/23 05:30:00+00,60,Moderate,7.626,7.626,High,7.249,0.89,Other Moon,3.62,">3""",60,36.9,NE,High Tide / Rain,High Tide / Rain,,95.2023274265115
908,,JONATHAN LUCAS ST,FLOOD,CLOSED,Charleston PD,2019/12/23 04:30:00+00,2019/12/23 12:00:00+00,2019/12/23,2019,8,Non-Commute,2019/12/23 05:30:00+00,60,Moderate,7.626,7.626,High,7.249,0.89,Other Moon,3.62,">3""",60,36.9,NE,High Tide / Rain,High Tide / Rain,,256.227353312114
909,,PRESIDENT ST,FLOOD,CLOSED,Charleston PD,2019/12/23 04:30:00+00,2019/12/23 15:30:00+00,2019/12/23,2019,11,Non-Commute,2019/12/23 05:30:00+00,60,Moderate,7.626,7.626,High,7.249,0.89,Other Moon,3.62,">3""",60,36.9,NE,High Tide / Rain,High Tide / Rain,,99.810454410582
910,,KING ST,FLOOD,CLOSED,Charleston PD,2019/12/23 05:00:00+00,2019/12/23 08:45:00+00,2019/12/23,2019,3,Non-Commute,2019/12/23 05:30:00+00,30,Moderate,7.626,7.626,High,7.515,0.89,Other Moon,3.62,">3""",60,36.9,NE,High Tide / Rain,High Tide / Rain,,105.999637228596
911,,E BAY ST,FLOOD,CLOSED,Charleston PD,2019/12/23 05:45:00+00,2019/12/23 07:15:00+00,2019/12/23,2019,2,Non-Commute,2019/12/23 05:30:00+00,-15,Moderate,7.626,7.626,High,7.603,0.89,Other Moon,3.62,">3""",60,36.9,NE,High Tide / Rain,High Tide / Rain,,46.5788565692231
912,,SHEPPARD ST,FLOOD,CLOSED,Charleston PD,2019/12/23 06:00:00+00,2019/12/23 08:45:00+00,2019/12/23,2019,2,Non-Commute,2019/12/23 05:30:00+00,-30,Moderate,7.626,7.626,High,7.606,0.89,Other Moon,3.62,">3""",60,36.9,NE,High Tide / Rain,High Tide / Rain,,167.753309550398
913,,CANNON ST,FLOOD,CLOSED,Charleston PD,2019/12/23 06:15:00+00,2019/12/23 07:45:00+00,2019/12/23,2019,1,Morning Commute,2019/12/23 05:30:00+00,-45,Moderate,7.626,7.626,High,7.462,0.89,Other Moon,3.62,">3""",60,36.9,NE,High Tide / Rain,High Tide / Rain,,750.100518105201
914,,FISHBURNE ST,FLOOD,CLOSED,Charleston PD,2019/12/23 06:45:00+00,2019/12/23 10:00:00+00,2019/12/23,2019,4,Morning Commute,2019/12/23 05:30:00+00,-75,Moderate,7.626,7.626,High,7.219,0.89,Other Moon,3.62,">3""",60,36.9,NE,High Tide / Rain,High Tide / Rain,,684.57176375235
915,,ASHLEY AVE,FLOOD,CLOSED,Charleston PD,2019/12/23 07:00:00+00,2019/12/23 11:00:00+00,2019/12/23,2019,4,Morning Commute,2019/12/23 05:30:00+00,-90,Moderate,7.626,7.626,High,7.032,0.89,Other Moon,3.62,">3""",60,36.9,NE,High Tide / Rain,High Tide / Rain,,297.464653349261
916,,S BATTERY ST,FLOOD,CLOSED,Charleston PD,2019/12/23 07:30:00+00,2019/12/23 15:45:00+00,2019/12/23,2019,8,Morning Commute,2019/12/23 05:30:00+00,-120,Moderate,7.626,7.626,High,6.475,0.89,Other Moon,3.62,">3""",60,36.9,NE,High Tide / Rain,High Tide / Rain,,114.518559576349
917,,MURRAY BLVD,FLOOD,CLOSED,Charleston PD,2019/12/23 07:30:00+00,2019/12/23 15:45:00+00,2019/12/23,2019,8,Morning Commute,2019/12/23 05:30:00+00,-120,Moderate,7.626,7.626,High,6.475,0.89,Other Moon,3.62,">3""",60,36.9,NE,High Tide / Rain,High Tide / Rain,,321.290620066152
918,,SMITH ST,FLOOD,CLOSED,Charleston PD,2019/12/23 07:45:00+00,2019/12/23 15:15:00+00,2019/12/23,2019,8,Morning Commute,2019/12/23 05:30:00+00,-135,Moderate,7.626,7.626,High,6.245,0.89,Other Moon,3.62,">3""",60,36.9,NE,High Tide / Rain,High Tide / Rain,,74.336847629749
919,,WILLIAM ACKERMAN LN,FLOOD,CLOSED,Charleston PD,2019/12/23 08:00:00+00,2019/12/23 14:45:00+00,2019/12/23,2019,6,Morning Commute,2019/12/23 05:30:00+00,-150,Moderate,7.626,7.626,High,5.838,0.89,Other Moon,3.62,">3""",60,36.9,NE,Low Tide / No Rain,High Tide / Rain,,383.693807147301
920,,RUTLEDGE BLVD,FLOOD,CLOSED,Charleston PD,2019/12/23 08:00:00+00,2019/12/23 11:00:00+00,2019/12/23,2019,3,Morning Commute,2019/12/23 05:30:00+00,-150,Moderate,7.626,7.626,High,5.838,0.89,Other Moon,3.62,">3""",60,36.9,NE,Low Tide / No Rain,High Tide / Rain,,38.33499754654
921,,CHISOLM ST,FLOOD,CLOSED,Charleston PD,2019/12/23 08:15:00+00,2019/12/23 11:00:00+00,2019/12/23,2019,3,Morning Commute,2019/12/23 05:30:00+00,-165,Moderate,7.626,7.626,High,5.592,0.89,Other Moon,3.62,">3""",60,36.9,NE,Low Tide / No Rain,High Tide / Rain,,265.90916252124
922,,COMING ST,FLOOD,CLOSED,Charleston PD,2019/12/23 08:30:00+00,2019/12/23 16:00:00+00,2019/12/23,2019,8,Morning Commute,2019/12/23 05:30:00+00,-180,Moderate,7.626,7.626,High,5.29,0.89,Other Moon,3.62,">3""",60,36.9,NE,Low Tide / No Rain,High Tide / Rain,,649.503879597578
923,,GORDON ST,FLOOD,CLOSED,Charleston PD,2019/12/23 08:45:00+00,2019/12/24 14:00:00+00,2019/12/23,2019,30,Morning Commute,2019/12/23 05:30:00+00,-195,Moderate,7.626,7.626,High,5.001,0.89,Other Moon,3.62,">3""",60,36.9,NE,Low Tide / No Rain,High Tide / Rain,,67.5614754980221
924,,HAGOOD AVE,FLOOD,CLOSED,Charleston PD,2019/12/23 11:00:00+00,2019/12/23 16:00:00+00,2019/12/23,2019,5,Non-Commute,2019/12/23 12:18:00+00,78,None,1.573,7.626,Low,2.032,0.89,Other Moon,3.62,">3""",60,36.9,NE,Non-High Tide / Rain,High Tide / Rain,,114.817087248892
925,,COLONIAL ST,FLOOD,CLOSED,Charleston PD,2019/12/23 11:15:00+00,2019/12/23 15:15:00+00,2019/12/23,2019,4,Non-Commute,2019/12/23 12:18:00+00,63,None,1.573,7.626,Low,1.881,0.89,Other Moon,3.62,">3""",60,36.9,NE,Non-High Tide / Rain,High Tide / Rain,,264.970039394807
926,,ASHLEY AVE,FLOOD,CLOSED,Charleston PD,2019/12/23 11:15:00+00,2019/12/23 15:00:00+00,2019/12/23,2019,4,Non-Commute,2019/12/23 12:18:00+00,63,None,1.573,7.626,Low,1.881,0.89,Other Moon,3.62,">3""",60,36.9,NE,Non-High Tide / Rain,High Tide / Rain,,264.723705991196
927,No,PRESIDENT ST,FLOOD,CLOSED,Charleston PD,2019/12/24 06:00:00+00,2019/12/24 14:00:00+00,2019/12/24,2019,8,Non-Commute,2019/12/24 06:30:00+00,30,Major,8.02,8.02,High,7.889,0.93,Other Moon,1.61,">1"" and <2""",60,29.1,NE,High Tide / Rain,High Tide / Rain,,156.136739337514
928,No,ASHLEY AVE,FLOOD,CLOSED,Charleston PD,2019/12/24 06:00:00+00,2019/12/24 10:30:00+00,2019/12/24,2019,4,Non-Commute,2019/12/24 06:30:00+00,30,Major,8.02,8.02,High,7.889,0.93,Other Moon,1.61,">1"" and <2""",60,29.1,NE,High Tide / Rain,High Tide / Rain,,337.674790429422
929,No,CALHOUN ST,FLOOD,CLOSED,Charleston PD,2019/12/24 06:00:00+00,2019/12/24 10:30:00+00,2019/12/24,2019,4,Non-Commute,2019/12/24 06:30:00+00,30,Major,8.02,8.02,High,7.889,0.93,Other Moon,1.61,">1"" and <2""",60,29.1,NE,High Tide / Rain,High Tide / Rain,,597.165664832154
930,No,MORRISON DR,FLOOD,CLOSED,Charleston PD,2019/12/24 06:00:00+00,2019/12/24 10:15:00+00,2019/12/24,2019,4,Non-Commute,2019/12/24 06:30:00+00,30,Major,8.02,8.02,High,7.889,0.93,Other Moon,1.61,">1"" and <2""",60,29.1,NE,High Tide / Rain,High Tide / Rain,,728.377216273543
931,No,LINE ST,FLOOD,CLOSED,Charleston PD,2019/12/24 06:00:00+00,2019/12/24 10:00:00+00,2019/12/24,2019,4,Non-Commute,2019/12/24 06:30:00+00,30,Major,8.02,8.02,High,7.889,0.93,Other Moon,1.61,">1"" and <2""",60,29.1,NE,High Tide / Rain,High Tide / Rain,,162.174192556873
932,No,FISHBURNE ST,FLOOD,CLOSED,Charleston PD,2019/12/24 06:00:00+00,2019/12/24 10:00:00+00,2019/12/24,2019,4,Non-Commute,2019/12/24 06:30:00+00,30,Major,8.02,8.02,High,7.889,0.93,Other Moon,1.61,">1"" and <2""",60,29.1,NE,High Tide / Rain,High Tide / Rain,,214.081812962017
933,No,RUTLEDGE AVE,FLOOD,CLOSED,Charleston PD,2019/12/24 06:00:00+00,2019/12/24 10:00:00+00,2019/12/24,2019,4,Non-Commute,2019/12/24 06:30:00+00,30,Major,8.02,8.02,High,7.889,0.93,Other Moon,1.61,">1"" and <2""",60,29.1,NE,High Tide / Rain,High Tide / Rain,,289.59576065107
934,,RUTLEDGE AVE,FLOOD,CLOSED,Charleston PD,2019/12/24 09:00:00+00,2019/12/24 10:00:00+00,2019/12/24,2019,1,Morning Commute,2019/12/24 06:30:00+00,-150,Major,8.02,8.02,High,5.749,0.93,Other Moon,1.61,">1"" and <2""",60,29.1,NE,Low Tide / No Rain,High Tide / Rain,,134.636428845095
935,,BROAD ST,FLOOD,CLOSED,Charleston PD,2019/12/24 09:00:00+00,2019/12/24 14:00:00+00,2019/12/24,2019,5,Morning Commute,2019/12/24 06:30:00+00,-150,Major,8.02,8.02,High,5.749,0.93,Other Moon,1.61,">1"" and <2""",60,29.1,NE,Low Tide / No Rain,High Tide / Rain,,201.795516264458
936,No,HAGOOD AVE,FLOOD,CLOSED,Charleston PD,2019/12/26 08:00:00+00,2019/12/26 14:00:00+00,2019/12/26,2019,6,Morning Commute,2019/12/26 08:06:00+00,6,None,6.999,6.999,High,6.993,1,New Moon,0,None,30,8.9,NE,High Tide / No Rain,High Tide / No Rain,,239.897459870195
937,,HAGOOD AVE,FLOOD,CLOSED,Charleston PD,2020/01/02 10:03:15+00,2020/01/02 10:05:06+00,2020/01/02,2020,0,Non-Commute,2020/01/02 12:42:00+00,159,None,5.549,5.549,High,4.175,0.22,Other Moon,0,None,110,8.9,E,Low Tide / No Rain,Low Tide / No Rain,,64.4409726582272
938,,KING ST,FLOOD,CLOSED,Charleston PD,2020/02/06 11:57:22+00,2020/02/06 11:59:55+00,2020/02/06,2020,0,Non-Commute,2020/02/06 11:36:00+00,-21,None,0.845,6.156,Low,0.927,0.38,Other Moon,0.6,"<1""",,,N,Non-High Tide / Rain,High Tide / Rain,,68.8398780504517
939,,OGIER ST,FLOOD,CLOSED,Charleston PD,2020/03/05 12:00:00+00,2020/03/05 22:46:44+00,2020/03/05,2020,10,Non-Commute,2020/03/05 10:12:00+00,-108,None,1.163,5.838,Low,2.37,0.33,Other Moon,1.72,">1"" and <2""",,,N,Non-High Tide / Rain,Non-High Tide / Rain,,102.73741011748
940,,COMING ST,FLOOD,CLOSED,Charleston PD,2020/03/05 12:00:00+00,2020/03/05 22:47:06+00,2020/03/05,2020,10,Non-Commute,2020/03/05 10:12:00+00,-108,None,1.163,5.838,Low,2.37,0.33,Other Moon,1.72,">1"" and <2""",,,N,Non-High Tide / Rain,Non-High Tide / Rain,,304.448309841894
941,,ASHLEY AVE,FLOOD,CLOSED,Charleston PD,2020/03/05 12:00:00+00,2020/03/05 22:46:13+00,2020/03/05,2020,10,Non-Commute,2020/03/05 10:12:00+00,-108,None,1.163,5.838,Low,2.37,0.33,Other Moon,1.72,">1"" and <2""",,,N,Non-High Tide / Rain,Non-High Tide / Rain,,109.592194808595
942,,ASHLEY AVE,FLOOD,CLOSED,Charleston PD,2020/03/05 12:00:00+00,2020/03/05 22:41:25+00,2020/03/05,2020,10,Non-Commute,2020/03/05 10:12:00+00,-108,None,1.163,5.838,Low,2.37,0.33,Other Moon,1.72,">1"" and <2""",,,N,Non-High Tide / Rain,Non-High Tide / Rain,,334.133547462357
943,,WASHINGTON ST,FLOOD,CLOSED,Charleston PD,2020/03/05 12:00:00+00,2020/03/05 15:06:36+00,2020/03/05,2020,3,Non-Commute,2020/03/05 10:12:00+00,-108,None,1.163,5.838,Low,2.37,0.33,Other Moon,1.72,">1"" and <2""",,,N,Non-High Tide / Rain,Non-High Tide / Rain,,350.423494148756
944,,CALHOUN ST,FLOOD,CLOSED - PARTIAL,Charleston PD,2020/03/05 12:15:00+00,2020/03/05 15:08:03+00,2020/03/05,2020,3,Non-Commute,2020/03/05 10:12:00+00,-123,None,1.163,5.838,Low,2.597,0.33,Other Moon,1.72,">1"" and <2""",,,N,Non-High Tide / Rain,Non-High Tide / Rain,,279.585140464666
945,,BARRE ST,FLOOD,CLOSED,Charleston PD,2020/03/05 12:30:00+00,2020/03/05 22:41:05+00,2020/03/05,2020,10,Non-Commute,2020/03/05 10:12:00+00,-138,None,1.163,5.838,Low,2.912,0.33,Other Moon,1.72,">1"" and <2""",,,N,Non-High Tide / Rain,Non-High Tide / Rain,,212.518326151118
946,,HUGER ST,FLOOD,CLOSED,Charleston PD,2020/03/05 12:30:00+00,2020/03/05 17:06:18+00,2020/03/05,2020,5,Non-Commute,2020/03/05 10:12:00+00,-138,None,1.163,5.838,Low,2.912,0.33,Other Moon,1.72,">1"" and <2""",,,N,Non-High Tide / Rain,Non-High Tide / Rain,,483.666187986268
947,,SHEPPARD ST,FLOOD,CLOSED,Charleston PD,2020/03/05 13:07:18+00,2020/03/05 14:42:26+00,2020/03/05,2020,1,Non-Commute,2020/03/05 16:00:00+00,173,None,5.779,5.838,High,3.706,0.33,Other Moon,1.72,">1"" and <2""",,,N,Low Tide / No Rain,Non-High Tide / Rain,,167.751047173997
948,,HAGOOD AVE,FLOOD,CLOSED,Charleston PD,2020/03/05 13:13:41+00,2020/03/05 14:42:07+00,2020/03/05,2020,1,Non-Commute,2020/03/05 16:00:00+00,167,None,5.779,5.838,High,3.893,0.33,Other Moon,1.72,">1"" and <2""",,,N,Low Tide / No Rain,Non-High Tide / Rain,,296.93417755687
949,,ASHLEY AVE,FLOOD,CLOSED,Charleston PD,2020/03/05 13:44:24+00,2020/03/05 22:46:55+00,2020/03/05,2020,9,Non-Commute,2020/03/05 16:00:00+00,136,None,5.779,5.838,High,4.575,0.33,Other Moon,1.72,">1"" and <2""",,,N,Low Tide / No Rain,Non-High Tide / Rain,,262.805945820539
950,,BENNETT ST,FLOOD,CLOSED,Charleston PD,2020/03/05 13:54:16+00,2020/03/05 22:45:59+00,2020/03/05,2020,9,Non-Commute,2020/03/05 16:00:00+00,126,None,5.779,5.838,High,4.877,0.33,Other Moon,1.72,">1"" and <2""",,,N,Low Tide / No Rain,Non-High Tide / Rain,,170.626055141357
951,,ASHLEY AVE,FLOOD,CLOSED,Charleston PD,2020/04/13 09:00:00+00,2020/04/13 14:00:00+00,2020/04/13,2020,5,Morning Commute,2020/04/13 07:42:00+00,-78,None,0.887,6.95,Low,1.763,0.69,Other Moon,0.75,"<1""",190,27.1,S,Non-High Tide / Rain,High Tide / Rain,,191.510728996217
952,,SHEPPARD ST,FLOOD,CLOSED,Charleston PD,2020/04/13 09:30:00+00,2020/04/13 14:00:00+00,2020/04/13,2020,5,Morning Commute,2020/04/13 07:42:00+00,-108,None,0.887,6.95,Low,2.37,0.69,Other Moon,0.75,"<1""",190,27.1,S,Non-High Tide / Rain,High Tide / Rain,,173.688977361064
953,,RIVERLAND DR,FLOOD,CLOSED - PARTIAL,Charleston PD,2020/05/20 12:24:52+00,2020/05/20 17:35:26+00,2020/05/20,2020,5,Non-Commute,2020/05/20 13:30:00+00,66,None,1.658,6.688,Low,1.954,0.92,Other Moon,2.94,">2"" and <3""",60,19,NE,Non-High Tide / Rain,High Tide / Rain,,136.634557376592
954,,KING ST,FLOOD,CLOSED,Charleston PD,2020/05/20 12:43:37+00,2020/05/20 16:49:51+00,2020/05/20,2020,4,Non-Commute,2020/05/20 13:30:00+00,47,None,1.658,6.688,Low,1.803,0.92,Other Moon,2.94,">2"" and <3""",60,19,NE,Non-High Tide / Rain,High Tide / Rain,,350.807401664175
955,,FISHBURNE ST,FLOOD,CLOSED,Charleston PD,2020/05/20 12:46:52+00,2020/05/20 01:55:02+00,2020/05/20,2020,-11,Non-Commute,2020/05/20 13:30:00+00,44,None,1.658,6.688,Low,1.76,0.92,Other Moon,2.94,">2"" and <3""",60,19,NE,Non-High Tide / Rain,High Tide / Rain,,456.330751390384
956,,CALHOUN ST,FLOOD,CLOSED,Charleston PD,2020/05/20 12:48:58+00,2020/05/20 17:24:33+00,2020/05/20,2020,5,Non-Commute,2020/05/20 13:30:00+00,42,None,1.658,6.688,Low,1.76,0.92,Other Moon,2.94,">2"" and <3""",60,19,NE,Non-High Tide / Rain,High Tide / Rain,,198.193810005444
957,,SHEPPARD ST,FLOOD,CLOSED,Charleston PD,2020/05/20 12:57:40+00,2020/05/20 16:59:52+00,2020/05/20,2020,4,Non-Commute,2020/05/20 13:30:00+00,33,None,1.658,6.688,Low,1.717,0.92,Other Moon,2.94,">2"" and <3""",60,19,NE,Non-High Tide / Rain,High Tide / Rain,,255.764819021162
958,,BARRE ST,FLOOD,CLOSED,Charleston PD,2020/05/20 13:00:12+00,2020/05/21 07:18:18+00,2020/05/20,2020,18,Non-Commute,2020/05/20 13:30:00+00,30,None,1.658,6.688,Low,1.75,0.92,Other Moon,2.94,">2"" and <3""",60,19,NE,Non-High Tide / Rain,High Tide / Rain,,456.289696019153
959,,MULTIPLE STREETS,FLOOD,CLOSED,Charleston PD,2020/05/20 13:06:44+00,2020/05/20 01:52:49+00,2020/05/20,2020,-12,Non-Commute,2020/05/20 13:30:00+00,24,None,1.658,6.688,Low,1.714,0.92,Other Moon,2.94,">2"" and <3""",60,19,NE,Non-High Tide / Rain,High Tide / Rain,,577.910737183785
